                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8324,                0.48922,                0.89517,                0.85025,                0.84534,                 0.8538,                0.58979,                0.99997,                 0.6019,                 0.9879,              0.0010362,              0.0010362,              0.0010362
                     36,                0.83667,                0.50136,                0.89547,                0.86414,                0.81989,                0.85667,                0.59466,                 1.0032,                0.58278,                0.99296,               0.001034,               0.001034,               0.001034
                     37,                0.81809,                0.48409,                0.89529,                0.85282,                0.84603,                 0.8765,                0.61265,                 1.0029,                0.60109,                0.99314,              0.0010318,              0.0010318,              0.0010318
                     38,                0.81174,                  0.481,                0.89232,                0.85949,                0.83355,                0.87638,                0.61305,                0.99774,                0.59011,                0.98911,              0.0010296,              0.0010296,              0.0010296
                     39,                0.81596,                0.47707,                  0.889,                 0.8763,                0.80582,                0.85585,                  0.612,                 0.9696,                0.57235,                0.97439,              0.0010274,              0.0010274,              0.0010274
                     40,                0.79459,                0.47119,                 0.8855,                0.86199,                0.83321,                0.84465,                0.59954,                0.99401,                0.59273,                0.97816,              0.0010252,              0.0010252,              0.0010252
                     41,                0.79838,                0.47683,                0.89006,                0.83506,                0.86275,                0.84487,                  0.598,                0.96463,                0.57118,                0.98207,               0.001023,               0.001023,               0.001023
                     42,                0.78217,                0.46566,                0.88272,                0.87749,                0.82044,                0.85336,                0.59314,                 1.0071,                0.57165,                0.99036,              0.0010208,              0.0010208,              0.0010208
                     43,                0.77898,                0.46789,                0.88437,                0.87934,                0.82557,                0.84233,                0.60811,                 0.9737,                0.58472,                0.99129,              0.0010186,              0.0010186,              0.0010186
                     44,                0.79357,                0.47195,                0.88848,                0.87034,                0.84799,                0.86056,                0.60058,                0.97602,                0.57797,                0.98862,              0.0010164,              0.0010164,              0.0010164
                     45,                0.77175,                0.46183,                 0.8781,                0.82824,                0.84981,                 0.8646,                0.60859,                0.95898,                0.58904,                0.97721,              0.0010142,              0.0010142,              0.0010142
                     46,                0.75613,                0.45209,                0.87822,                0.87808,                0.81824,                0.84846,                0.60731,                0.97624,                0.57028,                 0.9931,               0.001012,               0.001012,               0.001012
                     47,                0.75745,                0.45155,                0.87658,                0.84968,                0.83952,                0.84492,                0.60671,                0.97375,                0.57251,                0.99739,              0.0010098,              0.0010098,              0.0010098
                     48,                 0.7697,                0.45831,                 0.8766,                0.89048,                0.82238,                0.86333,                 0.6119,                0.97773,                0.56946,                 1.0013,              0.0010076,              0.0010076,              0.0010076
                     49,                0.75907,                0.45048,                0.88011,                0.84154,                 0.8428,                0.85186,                0.61753,                0.96655,                0.57675,                0.98479,              0.0010054,              0.0010054,              0.0010054
                     50,                0.74785,                0.44621,                0.87725,                0.87487,                 0.8589,                0.85726,                0.61587,                0.95336,                0.54739,                0.99786,              0.0010032,              0.0010032,              0.0010032
                     51,                0.72831,                0.43758,                 0.8694,                0.87227,                0.85623,                0.86516,                0.61995,                0.94908,                0.55605,                0.98387,               0.001001,               0.001001,               0.001001
                     52,                0.74299,                0.44427,                0.87517,                0.87628,                0.85199,                0.87529,                0.62723,                0.94447,                0.55807,                0.98024,             0.00099881,             0.00099881,             0.00099881
                     53,                0.73462,                 0.4407,                0.87448,                0.86491,                0.86044,                0.87312,                0.62019,                0.93646,                 0.5526,                0.97977,             0.00099661,             0.00099661,             0.00099661
                     54,                0.72729,                0.44014,                0.87287,                0.84498,                0.83946,                0.86616,                0.60988,                0.97561,                0.58094,                 1.0055,             0.00099441,             0.00099441,             0.00099441
                     55,                0.72909,                 0.4425,                0.87156,                0.86651,                0.84349,                0.86886,                0.61644,                0.96285,                0.57951,                0.98551,             0.00099221,             0.00099221,             0.00099221
                     56,                0.72969,                0.44224,                0.87091,                0.88604,                0.83727,                0.88294,                0.62766,                 0.9335,                0.57967,                0.97599,             0.00099001,             0.00099001,             0.00099001
                     57,                0.71932,                0.43398,                0.86837,                0.85942,                0.84962,                0.87671,                0.63587,                0.93095,                0.57042,                0.98114,             0.00098781,             0.00098781,             0.00098781
                     58,                 0.6955,                0.41904,                0.86107,                0.87228,                0.81984,                0.86535,                0.62314,                0.93208,                 0.5624,                0.98406,             0.00098561,             0.00098561,             0.00098561
                     59,                0.69159,                0.41841,                0.86068,                0.84267,                0.83525,                0.85323,                0.61577,                0.92693,                0.56304,                0.97862,             0.00098341,             0.00098341,             0.00098341
                     60,                0.70477,                0.42772,                0.86561,                0.83624,                0.86473,                0.87084,                 0.6309,                0.92924,                0.55193,                0.97218,             0.00098121,             0.00098121,             0.00098121
                     61,                 0.7206,                0.42688,                0.86527,                0.87286,                0.85432,                0.86892,                0.63189,                0.91947,                0.55758,                0.97432,             0.00097901,             0.00097901,             0.00097901
                     62,                0.69997,                0.41754,                 0.8661,                0.86439,                 0.8479,                0.87163,                0.62415,                0.94791,                 0.5645,                0.98788,             0.00097681,             0.00097681,             0.00097681
                     63,                0.70233,                  0.422,                0.86687,                0.87278,                0.84472,                0.87407,                0.63319,                0.91989,                0.55168,                0.98192,             0.00097461,             0.00097461,             0.00097461
                     64,                 0.6824,                0.41385,                0.85967,                0.86374,                0.84992,                0.87962,                 0.6512,                  0.904,                0.55129,                0.97762,             0.00097241,             0.00097241,             0.00097241
                     65,                0.66914,                0.40785,                0.85251,                0.86854,                0.85597,                0.88325,                0.65754,                0.90746,                0.54269,                0.97438,             0.00097021,             0.00097021,             0.00097021
                     66,                0.67443,                0.40655,                0.86003,                0.90003,                0.84742,                 0.8799,                0.63745,                0.91986,                0.55442,                0.97688,             0.00096801,             0.00096801,             0.00096801
                     67,                 0.6748,                0.41196,                0.86053,                0.88206,                0.85715,                0.86545,                0.63405,                0.91697,                0.56096,                0.99024,             0.00096581,             0.00096581,             0.00096581
                     68,                0.68307,                0.41471,                0.86076,                0.88287,                0.84957,                 0.8597,                0.62777,                0.92834,                0.55278,                0.99956,             0.00096361,             0.00096361,             0.00096361
                     69,                0.67705,                0.41124,                0.85785,                0.90727,                0.84916,                0.87587,                0.63772,                0.91744,                0.55392,                 0.9789,             0.00096141,             0.00096141,             0.00096141
                     70,                0.65716,                0.40001,                0.85386,                0.87392,                0.85393,                0.86664,                 0.6267,                0.92538,                0.55475,                0.99156,             0.00095922,             0.00095922,             0.00095922
                     71,                0.66091,                0.40488,                 0.8548,                0.86426,                0.86296,                0.87369,                0.64235,                0.92378,                 0.5375,                0.98719,             0.00095702,             0.00095702,             0.00095702
                     72,                0.65246,                0.39622,                0.84956,                0.87966,                0.85496,                0.86614,                0.62931,                0.91653,                0.54236,                0.99309,             0.00095482,             0.00095482,             0.00095482
                     73,                0.65895,                0.40223,                0.85419,                0.86908,                0.85006,                0.86489,                 0.6382,                0.89496,                0.57355,                0.96832,             0.00095262,             0.00095262,             0.00095262
                     74,                0.65901,                0.40114,                0.85431,                0.88514,                0.84785,                0.88204,                0.64905,                0.90438,                0.54238,                0.98586,             0.00095042,             0.00095042,             0.00095042
                     75,                0.64059,                0.39158,                0.84755,                0.88406,                0.85293,                0.88569,                0.65033,                0.91031,                0.52312,                0.98864,             0.00094822,             0.00094822,             0.00094822
                     76,                0.64014,                0.39063,                  0.848,                0.87413,                0.86319,                0.87851,                0.65336,                0.90055,                 0.5442,                0.97498,             0.00094602,             0.00094602,             0.00094602
                     77,                0.63438,                0.39511,                0.84989,                0.92838,                0.85345,                0.87647,                0.64343,                0.90855,                0.54347,                0.97864,             0.00094382,             0.00094382,             0.00094382
                     78,                0.62762,                0.38579,                 0.8518,                 0.8993,                0.83385,                 0.8829,                0.63607,                0.90663,                0.54166,                0.98822,             0.00094162,             0.00094162,             0.00094162
                     79,                0.64024,                0.39144,                0.84834,                0.86126,                0.85124,                0.85976,                0.63621,                0.91687,                0.55671,                 0.9994,             0.00093942,             0.00093942,             0.00093942
                     80,                0.63765,                 0.3963,                0.84907,                0.88742,                0.85667,                0.88448,                 0.6544,                0.90249,                 0.5437,                0.98877,             0.00093722,             0.00093722,             0.00093722
                     81,                0.64229,                 0.3948,                 0.8497,                0.86459,                0.83797,                0.86944,                0.63945,                0.90259,                0.53689,                0.98883,             0.00093502,             0.00093502,             0.00093502
                     82,                0.63162,                 0.3875,                0.84949,                0.87625,                0.82711,                0.86508,                0.64343,                0.90118,                0.55506,                0.98928,             0.00093282,             0.00093282,             0.00093282
                     83,                0.63963,                0.38863,                 0.8482,                0.89802,                0.83993,                0.88449,                 0.6541,                0.89693,                0.54562,                0.98818,             0.00093062,             0.00093062,             0.00093062
                     84,                0.63678,                0.39069,                0.84757,                0.89155,                0.85835,                0.88076,                0.64729,                 0.8953,                0.53899,                0.97583,             0.00092842,             0.00092842,             0.00092842
                     85,                 0.6251,                 0.3817,                0.84913,                0.88694,                0.86182,                0.88653,                0.64976,                0.90366,                0.54505,                0.97635,             0.00092622,             0.00092622,             0.00092622
                     86,                0.63329,                0.39322,                0.85209,                0.87808,                0.83868,                0.87254,                0.64004,                0.90813,                0.55843,                0.98371,             0.00092402,             0.00092402,             0.00092402
                     87,                0.62566,                0.38384,                0.84489,                0.87672,                0.82984,                0.86851,                0.64133,                0.90368,                0.57572,                 0.9762,             0.00092182,             0.00092182,             0.00092182
                     88,                0.61646,                0.38336,                0.84446,                0.83562,                0.88877,                0.89332,                0.65488,                0.88536,                0.55116,                0.96797,             0.00091962,             0.00091962,             0.00091962
                     89,                0.61031,                0.37603,                 0.8424,                0.86283,                0.87988,                0.89011,                0.65222,                0.88349,                0.54213,                0.97499,             0.00091742,             0.00091742,             0.00091742
                     90,                0.60482,                0.37717,                0.84186,                0.88772,                0.82833,                0.86978,                0.64953,                0.87876,                 0.5457,                0.97434,             0.00091522,             0.00091522,             0.00091522
                     91,                0.60874,                0.38013,                 0.8454,                0.87772,                0.86973,                0.88086,                0.64246,                0.91257,                0.54179,                0.98733,             0.00091302,             0.00091302,             0.00091302
                     92,                0.62627,                0.38604,                0.84637,                0.88603,                0.86043,                 0.8837,                 0.6531,                0.88631,                0.55013,                0.98113,             0.00091082,             0.00091082,             0.00091082
                     93,                0.61326,                0.37968,                0.84303,                0.88126,                0.85678,                0.88046,                0.66366,                0.86986,                0.52947,                0.97495,             0.00090862,             0.00090862,             0.00090862
                     94,                0.60285,                0.37193,                0.84282,                0.88133,                0.84328,                 0.8876,                0.65433,                0.88426,                0.55129,                0.97375,             0.00090642,             0.00090642,             0.00090642
                     95,                0.58426,                0.36583,                0.83634,                0.87227,                0.85578,                0.88316,                0.66202,                0.86004,                0.53257,                0.96312,             0.00090422,             0.00090422,             0.00090422
                     96,                0.59191,                0.37117,                0.83991,                0.88808,                0.85493,                0.87331,                0.66099,                0.86476,                0.52626,                0.96964,             0.00090202,             0.00090202,             0.00090202
                     97,                0.59299,                0.36883,                0.84174,                0.87061,                0.86605,                0.88399,                0.66764,                0.86556,                0.52919,                0.96163,             0.00089982,             0.00089982,             0.00089982
                     98,                0.57665,                0.36065,                0.83807,                0.89361,                0.85999,                0.89029,                0.65763,                0.87008,                0.54828,                0.97529,             0.00089762,             0.00089762,             0.00089762
                     99,                0.58455,                0.36383,                0.84246,                0.88043,                 0.8562,                0.88926,                0.65393,                0.87654,                0.53788,                 0.9791,             0.00089542,             0.00089542,             0.00089542
                    100,                0.58341,                0.36329,                0.83806,                0.89328,                0.84236,                 0.8751,                0.64987,                 0.8799,                0.52782,                0.98394,             0.00089322,             0.00089322,             0.00089322
                    101,                0.58638,                0.36622,                0.83724,                0.85341,                0.86733,                0.86664,                0.64655,                0.88148,                0.53339,                0.98222,             0.00089102,             0.00089102,             0.00089102
                    102,                0.57518,                0.36604,                0.83456,                0.90098,                0.84239,                0.87778,                0.65597,                0.87368,                 0.5286,                0.97092,             0.00088882,             0.00088882,             0.00088882
                    103,                0.58347,                0.36021,                0.84203,                0.86785,                0.87098,                 0.8857,                 0.6622,                0.86028,                0.51931,                0.96743,             0.00088662,             0.00088662,             0.00088662
                    104,                0.57315,                 0.3578,                0.83151,                0.89001,                0.85515,                0.89391,                0.66033,                0.87122,                0.52453,                0.96755,             0.00088442,             0.00088442,             0.00088442
                    105,                0.57631,                0.35719,                0.83733,                0.89069,                0.86755,                0.89394,                0.67217,                0.87916,                0.51724,                0.98513,             0.00088222,             0.00088222,             0.00088222
                    106,                0.57687,                0.35695,                0.83628,                0.85931,                0.86382,                0.88892,                0.66539,                0.87117,                0.52273,                0.98582,             0.00088002,             0.00088002,             0.00088002
                    107,                0.57827,                0.36017,                0.83852,                0.88847,                0.83136,                0.86248,                0.65588,                0.85258,                0.53127,                0.98098,             0.00087782,             0.00087782,             0.00087782
                    108,                0.56891,                0.36188,                0.83139,                0.90541,                0.86025,                0.89628,                0.66178,                0.86803,                 0.5259,                0.98605,             0.00087562,             0.00087562,             0.00087562
                    109,                0.56721,                0.35312,                0.83225,                0.89125,                0.87376,                0.89516,                0.67809,                0.86509,                0.51184,                0.97966,             0.00087342,             0.00087342,             0.00087342
                    110,                0.56739,                0.35433,                0.83565,                0.88737,                0.86808,                0.88776,                0.66586,                0.87178,                0.51911,                 0.9813,             0.00087122,             0.00087122,             0.00087122
                    111,                0.56411,                0.35359,                 0.8325,                0.87184,                 0.8661,                0.88624,                0.66608,                0.85376,                0.53774,                 0.9731,             0.00086902,             0.00086902,             0.00086902
                    112,                0.57298,                0.35848,                 0.8365,                0.88199,                0.85575,                0.88555,                0.65891,                0.86803,                0.52827,                0.98777,             0.00086682,             0.00086682,             0.00086682
                    113,                0.57268,                0.35673,                0.83439,                0.88621,                0.86447,                0.88346,                0.66686,                0.85087,                0.52041,                0.97517,             0.00086462,             0.00086462,             0.00086462
                    114,                0.56985,                  0.355,                0.83647,                0.92084,                 0.8504,                0.89218,                0.67744,                0.86042,                0.50965,                0.97748,             0.00086242,             0.00086242,             0.00086242
                    115,                 0.5587,                0.35237,                0.83589,                0.87906,                0.86011,                0.88399,                0.66684,                0.85707,                0.50599,                0.97612,             0.00086023,             0.00086023,             0.00086023
                    116,                 0.5589,                0.35333,                0.82909,                0.91396,                0.85931,                0.89428,                0.66985,                0.86434,                0.50224,                0.97688,             0.00085803,             0.00085803,             0.00085803
                    117,                0.56233,                0.35254,                 0.8363,                0.90578,                0.88011,                0.89173,                0.66115,                0.85073,                 0.5172,                0.98048,             0.00085583,             0.00085583,             0.00085583
                    118,                0.55262,                0.34582,                0.83045,                0.89748,                0.87888,                0.90104,                0.68097,                0.84723,                0.52066,                0.97635,             0.00085363,             0.00085363,             0.00085363
                    119,                 0.5424,                0.34012,                0.83217,                 0.8684,                0.86704,                0.89125,                0.67992,                0.83984,                0.50914,                0.97533,             0.00085143,             0.00085143,             0.00085143
                    120,                0.54223,                0.34222,                 0.8316,                0.90857,                0.88524,                0.89869,                0.67762,                0.84651,                0.49978,                0.97074,             0.00084923,             0.00084923,             0.00084923
                    121,                 0.5491,                0.34575,                0.83421,                0.87223,                0.86988,                0.87497,                0.66652,                0.84415,                0.51285,                0.97013,             0.00084703,             0.00084703,             0.00084703
                    122,                0.54417,                0.34186,                0.83239,                0.88929,                0.86818,                0.90268,                0.68021,                0.84018,                0.50902,                0.97132,             0.00084483,             0.00084483,             0.00084483
                    123,                0.54623,                0.34322,                0.83092,                0.87778,                0.84137,                0.88183,                0.67121,                0.85639,                0.51691,                0.98638,             0.00084263,             0.00084263,             0.00084263
                    124,                 0.5521,                0.34809,                0.83272,                0.89013,                0.87069,                0.89661,                 0.6763,                0.83302,                0.50323,                0.96967,             0.00084043,             0.00084043,             0.00084043
                    125,                 0.5379,                0.33745,                0.82708,                0.90469,                 0.8617,                0.87043,                0.65863,                0.83755,                0.52629,                0.96616,             0.00083823,             0.00083823,             0.00083823
                    126,                0.55865,                0.34803,                0.83427,                0.90506,                0.86778,                0.89402,                 0.6819,                0.83956,                0.51868,                0.97137,             0.00083603,             0.00083603,             0.00083603
                    127,                0.53109,                0.33724,                0.82474,                0.89193,                0.87043,                0.89707,                0.67998,                0.82069,                0.51807,                0.96336,             0.00083383,             0.00083383,             0.00083383
                    128,                0.54253,                0.33948,                0.82776,                0.88269,                 0.8565,                0.87668,                0.67168,                0.83696,                0.53947,                0.97152,             0.00083163,             0.00083163,             0.00083163
                    129,                0.52868,                0.33547,                0.82954,                0.90749,                0.86202,                0.90023,                0.69525,                0.83701,                0.52245,                0.97122,             0.00082943,             0.00082943,             0.00082943
                    130,                 0.5436,                0.33945,                0.82545,                0.90503,                0.87512,                0.89836,                0.68856,                0.82632,                 0.5003,                0.96305,             0.00082723,             0.00082723,             0.00082723
                    131,                0.53298,                0.33726,                 0.8301,                0.90512,                 0.8636,                0.87819,                0.66491,                 0.8396,                0.51419,                0.97624,             0.00082503,             0.00082503,             0.00082503
                    132,                0.52911,                 0.3365,                0.82843,                0.88321,                0.87829,                 0.8921,                0.68249,                0.85105,                0.50678,                 0.9805,             0.00082283,             0.00082283,             0.00082283
                    133,                0.54669,                0.34002,                0.82953,                0.89212,                 0.8473,                0.89048,                 0.6901,                0.83622,                 0.5255,                0.97145,             0.00082063,             0.00082063,             0.00082063
                    134,                0.52477,                0.33134,                0.82776,                0.90169,                0.86328,                0.88967,                0.67565,                0.83438,                 0.5133,                0.96603,             0.00081843,             0.00081843,             0.00081843
                    135,                0.52175,                0.33165,                0.82791,                0.90231,                0.86057,                0.88897,                0.68803,                0.84776,                0.52315,                0.97972,             0.00081623,             0.00081623,             0.00081623
                    136,                0.54046,                0.33533,                0.82997,                0.88279,                0.87993,                0.89261,                0.68843,                0.83332,                0.52155,                0.97687,             0.00081403,             0.00081403,             0.00081403
                    137,                0.52549,                0.33468,                0.82792,                0.87932,                0.87029,                0.88624,                0.68445,                 0.8269,                 0.5153,                0.97604,             0.00081183,             0.00081183,             0.00081183
                    138,                0.53616,                0.33543,                0.82914,                0.89711,                0.85754,                0.89491,                0.68281,                0.83836,                0.51291,                0.97572,             0.00080963,             0.00080963,             0.00080963
                    139,                0.53406,                0.33363,                0.82529,                  0.869,                0.86094,                0.88461,                0.68231,                0.82707,                0.52593,                0.97524,             0.00080743,             0.00080743,             0.00080743
                    140,                0.52167,                0.32716,                0.82501,                0.90234,                0.85653,                0.88974,                0.67625,                0.83694,                0.52942,                  0.972,             0.00080523,             0.00080523,             0.00080523
                    141,                0.52074,                 0.3289,                0.82744,                0.91419,                0.85226,                0.90079,                0.68738,                0.83101,                0.50958,                0.97835,             0.00080303,             0.00080303,             0.00080303
                    142,                 0.5161,                0.32359,                0.82184,                0.89908,                0.85141,                0.89551,                0.68516,                0.82881,                0.51444,                 0.9692,             0.00080083,             0.00080083,             0.00080083
                    143,                0.50851,                0.32372,                0.82336,                0.88091,                0.86219,                0.89213,                0.68149,                0.83643,                0.50536,                0.97301,             0.00079863,             0.00079863,             0.00079863
                    144,                0.51913,                0.32647,                0.82204,                0.89792,                 0.8639,                0.90089,                0.69159,                0.82691,                0.50628,                0.97168,             0.00079643,             0.00079643,             0.00079643
                    145,                0.51315,                0.32467,                0.82013,                0.89095,                0.87029,                0.89375,                0.68134,                 0.8296,                0.51966,                0.97725,             0.00079423,             0.00079423,             0.00079423
                    146,                0.50983,                 0.3238,                0.82387,                0.90692,                0.87923,                0.89475,                0.68653,                0.82426,                0.50636,                0.97247,             0.00079203,             0.00079203,             0.00079203
                    147,                0.51908,                0.32652,                0.82566,                0.88738,                0.88891,                0.90283,                0.68812,                0.82652,                0.51131,                0.96555,             0.00078983,             0.00078983,             0.00078983
