                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6348,                 3.0226,                 1.1627,                0.01827,                0.47941,                0.19434,                0.11169,                 1.4017,                 3.2677,                 1.0131,              0.0032716,              0.0032716,              0.0032716
                      1,                 1.4978,                 1.5901,                 1.0736,                0.79445,                0.32174,                 0.5157,                0.30551,                 1.3324,                 2.0567,                 1.0178,              0.0065968,              0.0065968,              0.0065968
                      2,                 1.5202,                  1.472,                 1.0821,                0.71583,                0.54269,                0.60371,                0.36046,                 1.3383,                 1.3375,                 1.0505,              0.0099137,              0.0099137,              0.0099137
                      3,                 1.5296,                 1.3676,                 1.0968,                 0.6524,                0.59268,                0.62392,                0.36818,                 1.3376,                 1.2643,                 1.0506,              0.0099629,              0.0099629,              0.0099629
                      4,                 1.4365,                 1.2446,                 1.0692,                0.88792,                0.52006,                0.65379,                0.38729,                 1.3541,                 1.1119,                 1.0414,              0.0099629,              0.0099629,              0.0099629
                      5,                 1.4272,                 1.2127,                 1.0594,                0.70352,                0.59293,                0.66352,                0.40335,                 1.2627,                 1.0954,                 1.0189,              0.0099505,              0.0099505,              0.0099505
                      6,                 1.3945,                 1.1218,                 1.0562,                0.70641,                0.65687,                0.69938,                0.41703,                 1.2533,                 1.1431,                   1.03,              0.0099381,              0.0099381,              0.0099381
                      7,                 1.3844,                 1.0904,                 1.0453,                 0.8152,                0.64285,                0.73044,                 0.4264,                 1.3105,                0.98449,                 1.0351,              0.0099258,              0.0099258,              0.0099258
                      8,                 1.3179,                 1.0034,                  1.024,                0.77544,                0.62816,                0.69969,                 0.4204,                 1.2581,                0.97369,                 1.0154,              0.0099134,              0.0099134,              0.0099134
                      9,                 1.3282,                 1.0062,                 1.0364,                0.77371,                0.70407,                0.72747,                0.44336,                 1.2123,                  0.908,                 1.0103,               0.009901,               0.009901,               0.009901
                     10,                 1.2874,                0.95509,                 1.0201,                0.75268,                0.69371,                0.74248,                0.45055,                 1.2803,                0.91015,                 1.0277,              0.0098886,              0.0098886,              0.0098886
                     11,                 1.2873,                0.95054,                 1.0167,                0.83616,                 0.6569,                0.73109,                0.46221,                 1.1806,                0.95599,                0.99066,              0.0098763,              0.0098763,              0.0098763
                     12,                 1.2806,                0.92841,                 1.0191,                0.88518,                0.68332,                 0.7742,                0.47806,                 1.1888,                 0.8491,                 1.0038,              0.0098639,              0.0098639,              0.0098639
                     13,                 1.2848,                0.89671,                 1.0107,                0.82312,                0.70134,                0.78225,                 0.4776,                 1.1602,                 0.8286,                0.98764,              0.0098515,              0.0098515,              0.0098515
